Title,Artist,Genre,Year,Popularity
"Hey, Soul Sister",Train,neo mellow,2010,83
Love The Way You Lie,Eminem,detroit hip hop,2010,82
TiK ToK,Kesha,dance pop,2010,80
Bad Romance,Lady Gaga,dance pop,2010,79
Just the Way You Are,Bruno Mars,pop,2010,78
Baby,Justin Bieber,canadian pop,2010,77
Dynamite,Taio Cruz,dance pop,2010,77
Secrets,OneRepublic,dance pop,2010,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,76
Only Girl (In The World),Rihanna,barbadian pop,2010,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,73
Marry You,Bruno Mars,pop,2010,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,73
Telephone,Lady Gaga,dance pop,2010,73
Like A G6,Far East Movement,dance pop,2010,72
OMG (feat. will.i.am),Usher,atl hip hop,2010,72
Eenie Meenie,Sean Kingston,dance pop,2010,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,70
Alejandro,Lady Gaga,dance pop,2010,69
Your Love Is My Drug,Kesha,dance pop,2010,69
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,68
Whataya Want from Me,Adam Lambert,australian pop,2010,66
Take It Off,Kesha,dance pop,2010,66
Misery,Maroon 5,pop,2010,65
All The Right Moves,OneRepublic,dance pop,2010,65
Animal,Neon Trees,indie pop,2010,65
Naturally,Selena Gomez & The Scene,dance pop,2010,64
I Like It,Enrique Iglesias,dance pop,2010,63
Teenage Dream,Katy Perry,dance pop,2010,63
California Gurls,Katy Perry,dance pop,2010,62
3,Britney Spears,dance pop,2010,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,62
Imma Be,The Black Eyed Peas,dance pop,2010,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,61
If I Had You,Adam Lambert,australian pop,2010,59
Rock That Body,The Black Eyed Peas,dance pop,2010,59
Dog Days Are Over,Florence + The Machine,art pop,2010,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,58
Doesn't Mean Anything,Alicia Keys,hip pop,2010,57
Hard,Rihanna,barbadian pop,2010,57
Loca,Shakira,colombian pop,2010,56
You Lost Me,Christina Aguilera,dance pop,2010,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,52
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,49
Break Your Heart,Taio Cruz,dance pop,2010,33
Hello,Martin Solveig,big room,2010,0
A Thousand Years,Christina Perri,dance pop,2011,81
Someone Like You,Adele,british soul,2011,80
Give Me Everything,Pitbull,dance pop,2011,79
